Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
312.0,1,Alabama,9,35,63,,Nov 07,,,,,,,,Election 2020-1
299.5,6,Alabama,9,39,58,,Oct 28,,,,,,,,Auburn U. at Montgomery-6
275.5,4,Alabama,9,37,57,,Oct 03,,,,,,,,Auburn U. at Montgomery-4
210.5,10,Alabama,9,36,58,,Aug 02,,,,,,,,Morning Consult-10
187.5,8,Alabama,9,41,55,,Jul 09,,,,,,,,Auburn U. at Montgomery-8
 36.0,3,Alabama,9,38,58,,Feb 06,,,,,,,,Mason-Dixon-3
312.0,1,Alaska,3,35,61,,Nov 07,,,,,,,,Election 2020-1
293.5,2,Alaska,3,45,50,,Oct 20,,,,,,,,PPP-2
285.5,6,Alaska,3,39,45,,Oct 14,,,,,,,,Siena Coll.-6
273.5,10,Alaska,3,46,50,,Oct 04,,,,,,,,Alaska Survey Research-10
205.5,2,Alaska,3,44,50,,Jul 24,,,,,,,,PPP-2
189.5,2,Alaska,3,45,48,,Jul 08,,,,,,,,PPP-2
182.0,15,Alaska,3,48,49,,Jul 07,,,,,,,,Alaska Survey Research-15
312.0,1,Arizona,11,52,47,,Nov 07,,,,,,,,Election 2020-1
304.5,2,Arizona,11,48,50,,Oct 31,,,,,,,,AtlasIntel-2
304.5,4,Arizona,11,48,48,,Nov 01,,,,,,,,Marist Coll.-4
304.0,3,Arizona,11,48,46,,Oct 31,,,,,,,,Emerson Coll.-3
304.0,7,Arizona,11,50,48,,Nov 02,,,,,,,,Ipsos-7
302.0,3,Arizona,11,45,49,,Oct 29,,,,,,,,Pulse Opinion Research-3
302.0,5,Arizona,11,49,43,,Oct 30,,,,,,,,Siena Coll.-5
301.5,4,Arizona,11,50,46,,Oct 29,,,,,,,,Redfield and Wilton Strategies-4
300.5,8,Arizona,11,50,46,,Oct 30,,,,,,,,SSRS-8
300.5,10,Arizona,11,48,46,,Oct 31,,,,,,,,Morning Consult-10
298.0,7,Arizona,11,48,46,,Oct 27,,,,,,,,Ipsos-7
297.5,4,Arizona,11,49,43,,Oct 25,,,,,,,,The Justice Collaborative Inst.-4
297.5,4,Arizona,11,49,46,,Oct 25,,,,,,,,OH Predictive Insights-4
295.0,9,Arizona,11,50,45,,Oct 25,,,,,,,,Latino Decisions-9
293.5,10,Arizona,11,50,47,,Oct 24,,,,,,,,Y2 Analytics-10
292.5,2,Arizona,11,48,46,,Oct 19,,,,,,,,Pulse Opinion Research-2
291.5,8,Arizona,11,49,46,,Oct 21,,,,,,,,Ipsos-8
290.5,6,Arizona,11,47,46,,Oct 19,,,,,,,,RMG Research-6
289.5,10,Arizona,11,47,48,,Oct 20,,,,,,,,Morning Consult-10
288.5,4,Arizona,11,50,47,,Oct 16,,,,,,,,YouGov-4
285.5,4,Arizona,11,48,45,,Oct 13,,,,,,,,Redfield and Wilton Strategies-4
285.0,5,Arizona,11,51,44,,Oct 13,,,,,,,,Monmouth U.-5
284.5,8,Arizona,11,50,46,,Oct 14,,,,,,,,Ipsos-8
280.5,10,Arizona,11,49,46,,Oct 11,,,,,,,,Morning Consult-10
280.0,5,Arizona,11,50,47,,Oct 08,,,,,,,,OH Predictive Insights-5
279.5,4,Arizona,11,49,43,,Oct 07,,,,,,,,Redfield and Wilton Strategies-4
277.0,9,Arizona,11,48,46,,Oct 07,,,,,,,,Ipsos-9
276.0,3,Arizona,11,49,41,,Oct 03,,,,,,,,Siena Coll.-3
276.0,9,Arizona,11,48,45,,Oct 06,,,,,,,,Latino Decisions-9
275.5,8,Arizona,11,46,45,,Oct 05,,,,,,,,High Ground Inc.-8
272.0,5,Arizona,11,50,46,,Sep 30,,,,,,,,Suffolk U.-5
270.5,6,Arizona,11,49,45,,Sep 29,,,,,,,,Strategies 360-6
268.5,4,Arizona,11,47,44,,Sep 26,,,,,,,,Redfield and Wilton Strategies-4
261.5,6,Arizona,11,48,49,,Sep 20,,,,,,,,Langer Research-6
